date,VALUE
2013-05-18,3020000
2013-05-25,3012000
2013-06-01,2999000
2013-06-08,3004000
2013-06-15,2996000
2013-06-22,2962000
2013-06-29,3003000
2013-07-06,3113000
2013-07-13,3011000
2013-07-20,2947000
2013-07-27,3010000
2013-08-03,2944000
2013-08-10,2987000
2013-08-17,2968000
2013-08-24,2934000
2013-08-31,2839000
2013-09-07,2822000
2013-09-14,2863000
2013-09-21,2954000
2013-09-28,2944000
2013-10-05,2929000
2013-10-12,2925000
2013-10-19,2933000
2013-10-26,2927000
2013-11-02,2873000
2013-11-09,2925000
2013-11-16,2837000
2013-11-23,2813000
2013-11-30,2808000
2013-12-07,2892000
2013-12-14,2903000
2013-12-21,2832000
2013-12-28,2807000
2014-01-04,2903000
2014-01-11,2907000
2014-01-18,2847000
2014-01-25,2850000
2014-02-01,2852000
2014-02-08,2859000
2014-02-15,2861000
2014-02-22,2823000
2014-03-01,2787000
2014-03-08,2816000
2014-03-15,2764000
2014-03-22,2800000
2014-03-29,2729000
2014-04-05,2730000
2014-04-12,2680000
2014-04-19,2767000
2014-04-26,2707000
2014-05-03,2702000
2014-05-10,2691000
2014-05-17,2657000
2014-05-24,2646000
2014-05-31,2641000
2014-06-07,2598000
2014-06-14,2595000
2014-06-21,2583000
2014-06-28,2579000
2014-07-05,2540000
2014-07-12,2528000
2014-07-19,2542000
2014-07-26,2524000
2014-08-02,2530000
2014-08-09,2508000
2014-08-16,2517000
2014-08-23,2483000
2014-08-30,2486000
2014-09-06,2452000
2014-09-13,2465000
2014-09-20,2447000
2014-09-27,2427000
2014-10-04,2441000
2014-10-11,2409000
2014-10-18,2437000
2014-10-25,2406000
2014-11-01,2436000
2014-11-08,2384000
2014-11-15,2351000
2014-11-22,2389000
2014-11-29,2484000
2014-12-06,2381000
2014-12-13,2379000
2014-12-20,2338000
2014-12-27,2422000
2015-01-03,2381000
2015-01-10,2400000
2015-01-17,2336000
2015-01-24,2335000
2015-01-31,2297000
2015-02-07,2344000
2015-02-14,2319000
2015-02-21,2341000
2015-02-28,2357000
2015-03-07,2361000
2015-03-14,2361000
2015-03-21,2306000
2015-03-28,2278000
2015-04-04,2273000
2015-04-11,2320000
2015-04-18,2279000
2015-04-25,2254000
2015-05-02,2261000
2015-05-09,2253000
2015-05-16,2258000
2015-05-23,2236000
2015-05-30,2294000
2015-06-06,2250000
2015-06-13,2268000
2015-06-20,2265000
2015-06-27,2312000
2015-07-04,2233000
2015-07-11,2226000
2015-07-18,2267000
2015-07-25,2253000
2015-08-01,2257000
2015-08-08,2247000
2015-08-15,2256000
2015-08-22,2252000
2015-08-29,2258000
2015-09-05,2243000
2015-09-12,2255000
2015-09-19,2234000
2015-09-26,2240000
2015-10-03,2207000
2015-10-10,2214000
2015-10-17,2194000
2015-10-24,2218000
2015-10-31,2205000
2015-11-07,2209000
2015-11-14,2185000
2015-11-21,2181000
2015-11-28,2259000
2015-12-05,2242000
2015-12-12,2190000
2015-12-19,2176000
2015-12-26,2207000
2016-01-02,2218000
2016-01-09,2190000
2016-01-16,2221000
2016-01-23,2199000
2016-01-30,2210000
2016-02-06,2213000
2016-02-13,2206000
2016-02-20,2203000
2016-02-27,2180000
2016-03-05,2203000
2016-03-12,2163000
2016-03-19,2138000
2016-03-26,2165000
2016-04-02,2151000
2016-04-09,2139000
2016-04-16,2135000
2016-04-23,2137000
2016-04-30,2183000
2016-05-07,2185000
2016-05-14,2177000
2016-05-21,2186000
2016-05-28,2131000
2016-06-04,2170000
2016-06-11,2158000
2016-06-18,2160000
2016-06-25,2139000
2016-07-02,2131000
2016-07-09,2125000
2016-07-16,2140000
2016-07-23,2134000
2016-07-30,2143000
2016-08-06,2157000
2016-08-13,2137000
2016-08-20,2148000
2016-08-27,2138000
2016-09-03,2149000
2016-09-10,2110000
2016-09-17,2098000
2016-09-24,2081000
2016-10-01,2080000
2016-10-08,2081000
2016-10-15,2069000
2016-10-22,2066000
2016-10-29,2067000
2016-11-05,2046000
2016-11-12,2045000
2016-11-19,2050000
2016-11-26,2038000
2016-12-03,2029000
2016-12-10,2030000
2016-12-17,2078000
2016-12-24,2077000
2016-12-31,2028000
2017-01-07,2080000
2017-01-14,2099000
2017-01-21,2067000
2017-01-28,2078000
2017-02-04,2064000
2017-02-11,2076000
2017-02-18,2034000
2017-02-25,2065000
2017-03-04,2020000
2017-03-11,2002000
2017-03-18,2021000
2017-03-25,2027000
2017-04-01,1990000
2017-04-08,1968000
2017-04-15,1961000
2017-04-22,1962000
2017-04-29,1896000
2017-05-06,1892000
2017-05-13,1902000
2017-05-20,1900000
2017-05-27,1891000
2017-06-03,1909000
2017-06-10,1914000
2017-06-17,1915000
2017-06-24,1929000
2017-07-01,1911000
2017-07-08,1942000
2017-07-15,1929000
2017-07-22,1928000
2017-07-29,1926000
2017-08-05,1928000
2017-08-12,1926000
2017-08-19,1928000
2017-08-26,1912000
2017-09-02,1911000
2017-09-09,1939000
2017-09-16,1872000
2017-09-23,1871000
2017-09-30,1871000
2017-10-07,1869000
2017-10-14,1902000
2017-10-21,1913000
2017-10-28,1927000
2017-11-04,1939000
2017-11-11,1944000
2017-11-18,1974000
2017-11-25,1997000
2017-12-02,1953000
2017-12-09,1984000
2017-12-16,2006000
2017-12-23,1979000
2017-12-30,1933000
2018-01-06,1971000
2018-01-13,1957000
2018-01-20,1975000
2018-01-27,1943000
2018-02-03,1954000
2018-02-10,1909000
2018-02-17,1921000
2018-02-24,1892000
2018-03-03,1883000
2018-03-10,1859000
2018-03-17,1861000
2018-03-24,1828000
2018-03-31,1848000
2018-04-07,1856000
2018-04-14,1804000
2018-04-21,1744000
2018-04-28,1745000
2018-05-05,1683000
2018-05-12,1697000
2018-05-19,1689000
2018-05-26,1686000
2018-06-02,1659000
2018-06-09,1684000
2018-06-16,1668000
2018-06-23,1695000
2018-06-30,1698000
2018-07-07,1718000
2018-07-14,1711000
2018-07-21,1680000
2018-07-28,1728000
2018-08-04,1694000
2018-08-11,1701000
2018-08-18,1685000
2018-08-25,1677000
2018-09-01,1659000
2018-09-08,1615000
2018-09-15,1609000
2018-09-22,1598000
2018-09-29,1602000
2018-10-06,1599000
2018-10-13,1626000
2018-10-20,1647000
2018-10-27,1653000
2018-11-03,1676000
2018-11-10,1704000
2018-11-17,1786000
2018-11-24,1737000
2018-12-01,1735000
2018-12-08,1777000
2018-12-15,1790000
2018-12-22,1798000
2018-12-29,1779000
2019-01-05,1785000
2019-01-12,1779000
2019-01-19,1802000
2019-01-26,1775000
2019-02-02,1820000
2019-02-09,1785000
2019-02-16,1819000
2019-02-23,1801000
2019-03-02,1797000
2019-03-09,1782000
2019-03-16,1770000
2019-03-23,1741000
2019-03-30,1711000
2019-04-06,1660000
2019-04-13,1636000
2019-04-20,1643000
2019-04-27,1634000
2019-05-04,1605000
2019-05-11,1616000
2019-05-18,1604000
2019-05-25,1614000
2019-06-01,1621000
2019-06-08,1599000
2019-06-15,1627000
2019-06-22,1626000
2019-06-29,1666000
2019-07-06,1642000
2019-07-13,1639000
2019-07-20,1626000
2019-07-27,1659000
2019-08-03,1674000
2019-08-10,1647000
2019-08-17,1654000
2019-08-24,1634000
2019-08-31,1610000
2019-09-07,1605000
2019-09-14,1566000
2019-09-21,1561000
2019-09-28,1606000
2019-10-05,1597000
2019-10-12,1639000
2019-10-19,1684000
2019-10-26,1699000
2019-11-02,1702000
2019-11-09,1741000
2019-11-16,1746000
2019-11-23,1802000
2019-11-30,1800000
2019-12-07,1831000
2019-12-14,1841000
2019-12-21,1841000
2019-12-28,1891000
2020-01-04,1876000
2020-01-11,1835000
2020-01-18,1797000
2020-01-25,1839000
2020-02-01,1799000
2020-02-08,1822000
2020-02-15,1787000
2020-02-22,1801000
2020-02-29,1780000
2020-03-07,1763000
2020-03-14,1834000
2020-03-21,3238000
2020-03-28,8004000
2020-04-04,12396000
2020-04-11,16193000
2020-04-18,17789000
2020-04-25,21750000
2020-05-02,20939000
2020-05-09,23130000
2020-05-16,19153000
2020-05-23,19194000
2020-05-30,19216000
2020-06-06,18743000
2020-06-13,17860000
2020-06-20,17501000
2020-06-27,16610000
2020-07-04,17273000
2020-07-11,16251000
2020-07-18,16799000
2020-07-25,15929000
2020-08-01,15255000
2020-08-08,14184000
2020-08-15,13910000
2020-08-22,13217000
2020-08-29,13501000
2020-09-05,12765000
2020-09-12,12684000
2020-09-19,11367000
2020-09-26,10481000
2020-10-03,9270000
2020-10-10,8425000
2020-10-17,7777000
2020-10-24,7180000
2020-10-31,6705000
2020-11-07,6341000
2020-11-14,6088000
2020-11-21,5580000
2020-11-28,5784000
2020-12-05,5609000
2020-12-12,5416000
2020-12-19,5332000
2020-12-26,5181000
2021-01-02,5330000
2021-01-09,5069000
2021-01-16,4877000
2021-01-23,4789000
2021-01-30,4658000
2021-02-06,4599000
2021-02-13,4495000
2021-02-20,4406000
2021-02-27,4227000
2021-03-06,4185000
2021-03-13,3970000
2021-03-20,3887000
2021-03-27,3859000
2021-04-03,3830000
2021-04-10,3779000
2021-04-17,3776000
2021-04-24,3767000
2021-05-01,3756000
2021-05-08,3737000
2021-05-15,3618000
2021-05-22,3575000
2021-05-29,3422000
2021-06-05,3352000
2021-06-12,3271000
2021-06-19,3266000
2021-06-26,3230000
2021-07-03,3116000
2021-07-10,3116000
2021-07-17,3082000
2021-07-24,2881000
2021-07-31,2794000
2021-08-07,2839000
2021-08-14,2804000
2021-08-21,2772000
2021-08-28,2740000
2021-09-04,2628000
2021-09-11,2705000
2021-09-18,2720000
2021-09-25,2674000
2021-10-02,2571000
2021-10-09,2512000
2021-10-16,2334000
2021-10-23,2263000
2021-10-30,2303000
2021-11-06,2172000
2021-11-13,2100000
2021-11-20,1976000
2021-11-27,2098000
2021-12-04,1927000
2021-12-11,1904000
2021-12-18,1793000
2021-12-25,1805000
2022-01-01,1778000
2022-01-08,1776000
2022-01-15,1787000
2022-01-22,1757000
2022-01-29,1743000
2022-02-05,1714000
2022-02-12,1633000
2022-02-19,1623000
2022-02-26,1664000
2022-03-05,1594000
2022-03-12,1542000
2022-03-19,1506000
2022-03-26,1529000
2022-04-02,1474000
2022-04-09,1407000
2022-04-16,1403000
2022-04-23,1387000
2022-04-30,1342000
2022-05-07,1315000
2022-05-14,1343000
2022-05-21,1306000
2022-05-28,1309000
2022-06-04,1310000
2022-06-11,1331000
2022-06-18,1324000
2022-06-25,1372000
2022-07-02,1333000
2022-07-09,1384000
2022-07-16,1365000
2022-07-23,1420000
2022-07-30,1430000
2022-08-06,1434000
2022-08-13,1412000
2022-08-20,1437000
2022-08-27,1402000
2022-09-03,1400000
2022-09-10,1376000
2022-09-17,1346000
2022-09-24,1365000
2022-10-01,1364000
2022-10-08,1383000
2022-10-15,1438000
2022-10-22,1487000
2022-10-29,1498000
2022-11-05,1498000
2022-11-12,1551000
2022-11-19,1609000
2022-11-26,1670000
2022-12-03,1669000
2022-12-10,1669000
2022-12-17,1718000
2022-12-24,1697000
2022-12-31,1630000
2023-01-07,1655000
2023-01-14,1666000
2023-01-21,1650000
2023-01-28,1680000
2023-02-04,1691000
2023-02-11,1660000
2023-02-18,1649000
2023-02-25,1713000
2023-03-04,1680000
2023-03-11,1694000
